Country;0-9;okt.19;20-29;30-39;40-49;50-59;60-69;70-79;80-99;Total population
Cambodia;0,21;0,19;0,19;0,17;0,09;0,08;0,05;0,02;0,01;16 718 971
Indonesia;0,18;0,17;0,16;0,15;0,14;0,11;0,06;0,03;0,01;273 523 621
Lao People's Democratic Republic;0,22;0,2;0,19;0,15;0,11;0,07;0,04;0,02;0,01;7 275 556
Malaysia;0,16;0,16;0,18;0,17;0,12;0,1;0,07;0,03;0,01;32 365 998
Myanmar;0,17;0,18;0,17;0,15;0,13;0,1;0,07;0,03;0,01;54 409 794
Philippines;0,2;0,2;0,18;0,14;0,11;0,09;0,05;0,02;0,01;109 581 085
Singapore;0,08;0,09;0,14;0,15;0,16;0,16;0,14;0,05;0,02;5 850 343
Thailand;0,11;0,12;0,14;0,13;0,16;0,15;0,11;0,06;0,02;69 799 978
Timor-Leste;0,25;0,23;0,19;0,12;0,08;0,07;0,04;0,02;0,01;1 318 442
Viet Nam;0,16;0,14;0,16;0,17;0,14;0,11;0,08;0,03;0,02;97 338 583
Antigua and Barbuda;0,15;0,14;0,15;0,14;0,14;0,13;0,08;0,04;0,01;97 928
Aruba;0,11;0,13;0,14;0,11;0,13;0,16;0,13;0,07;0,02;106 766
Bahamas;0,14;0,16;0,17;0,14;0,14;0,13;0,07;0,03;0,01;393 248
Barbados;0,11;0,13;0,13;0,13;0,14;0,14;0,12;0,07;0,04;287 371
Cuba;0,11;0,11;0,13;0,13;0,14;0,17;0,1;0,07;0,04;11 326 616
Curaçao;0,12;0,13;0,12;0,11;0,12;0,15;0,13;0,08;0,04;164 100
Dominican Republic;0,18;0,18;0,17;0,14;0,12;0,09;0,06;0,03;0,01;10 847 904
Grenada;0,16;0,14;0,16;0,16;0,11;0,11;0,09;0,04;0,02;112 519
Guadeloupe;0,11;0,15;0,12;0,08;0,12;0,16;0,13;0,08;0,05;400 127
Haiti;0,22;0,21;0,18;0,15;0,1;0,07;0,05;0,02;0,01;11 402 533
Jamaica;0,16;0,16;0,17;0,15;0,12;0,11;0,07;0,04;0,02;2 961 161
Martinique;0,1;0,13;0,11;0,09;0,12;0,17;0,14;0,09;0,06;375 265
Puerto Rico;0,08;0,14;0,1;0,12;0,14;0,14;0,13;0,1;0,05;2 860 840
Saint Lucia;0,12;0,13;0,18;0,15;0,14;0,13;0,08;0,05;0,02;183 629
Saint Vincent and the Grenadines;0,14;0,16;0,16;0,14;0,13;0,12;0,08;0,04;0,02;110 947
Trinidad and Tobago;0,13;0,13;0,13;0,17;0,14;0,13;0,1;0,05;0,02;1 399 491
United States Virgin Islands;0,12;0,13;0,12;0,09;0,11;0,14;0,13;0,1;0,03;104 423
Belize;0,2;0,2;0,19;0,15;0,11;0,08;0,04;0,02;0,01;397 621
Costa Rica;0,14;0,14;0,16;0,16;0,13;0,12;0,08;0,05;0,02;5 094 114
El Salvador;0,18;0,18;0,19;0,14;0,11;0,09;0,06;0,04;0,02;6 486 201
Guatemala;0,23;0,22;0,19;0,14;0,1;0,06;0,04;0,02;0,01;17 915 567
Honduras;0,2;0,21;0,19;0,15;0,11;0,07;0,04;0,02;0,01;9 904 608
Mexico;0,17;0,17;0,17;0,15;0,13;0,1;0,06;0,03;0,01;128 932 753
Nicaragua;0,2;0,19;0,18;0,16;0,12;0,08;0,05;0,02;0,01;6 624 554
Panama;0,18;0,17;0,16;0,14;0,13;0,1;0,07;0,04;0,02;4 314 768
Argentina;0,16;0,16;0,15;0,14;0,13;0,1;0,08;0,05;0,02;45 195 777
Bolivia (Plurinational State of);0,2;0,2;0,17;0,14;0,11;0,08;0,05;0,03;0,01;11 673 029
Brazil;0,14;0,15;0,16;0,16;0,14;0,11;0,08;0,04;0,02;212 559 409
Chile;0,13;0,13;0,16;0,15;0,13;0,12;0,09;0,05;0,03;19 116 209
Colombia;0,15;0,16;0,17;0,15;0,13;0,11;0,07;0,04;0,02;50 882 884
